YYYY,MM,DD,Northing,Easting,Mag,
2020,6,16,27.88,86.2,4.1,
2020,5,30,27.85,84.93,4.8,
2020,5,26,29.73,82.01,4.2,
2020,5,12,27.65,86.15,5.3,
2020,4,15,27.55,86.59,4.7,
2020,4,2,29.58,80.96,4,
2020,3,25,28.01,84.97,4,
2020,3,15,28.34,83.8,5,
2020,3,4,27.79,86.18,4.3,
2020,2,19,29.71,81.69,4.3,
2020,1,28,29.61,81.71,4.2,
2020,1,12,29.59,81.73,4.2,
2020,1,12,29.58,81.71,4.5,
2019,12,12,27.95,85.59,4.8,
2019,11,27,27.79,85.79,5,
2019,11,19,29.42,81.1,5.7,
2019,11,12,30.2,80.1,4.6,
2019,10,31,28.45,83.23,4.5,
2019,10,28,29.66,82.04,4.1,
2019,10,22,26.88,86.59,4.1,
2019,10,20,27.82,87.98,4.2,
2019,9,29,28.66,83.06,4.4,
2019,9,28,30,81.45,4.3,
2019,9,26,28.28,84.65,4.7,
2019,9,25,27.71,86.32,4,
2019,9,22,28.25,84.49,4.4,
2019,9,21,28.15,84.61,4,
2019,9,17,28.21,84.49,4.5,
2019,9,16,29.8,80.48,4.4,
2019,9,15,30.3,81.74,5,
2019,8,22,27.52,86.39,4,
2019,8,14,27.69,86.26,4.3,
2019,8,9,28.5,83.22,4.7,
2019,7,24,27.8,86.15,4.2,
2019,7,6,27.67,85.42,4.6,
2019,6,27,27.95,84.8,4,
2019,6,15,28.95,81.98,4.5,
2019,6,14,29.52,81.05,4,
2019,5,30,29.62,82.11,4.6,
2019,5,25,27.7,86.47,4.9,
2019,5,25,29.5,81.28,4.3,
2019,5,21,28.21,84.37,4.1,
2019,5,17,27.85,84.87,5,
2019,5,11,28.98,81.78,5.1,
2019,5,4,27.94,85.72,4,
2019,4,29,27.93,85.94,4,
2019,4,24,27.69,85.17,5.2,
2019,4,24,27.7,85.14,4.3,
2019,4,16,28,84.76,4.5,
2019,4,14,29.49,81.24,4.8,
2019,4,13,28.03,85.38,4.6,
2019,4,9,27.76,86.27,4.2,
2019,4,1,28.98,81.69,4.1,
2019,3,18,27.63,85.16,4.1,
2019,2,26,27.66,86,4.4,
2019,2,26,27.84,85.95,4.1,
2019,2,16,27.68,85.27,4,
2019,2,14,27.81,88.18,4.6,
2019,1,22,27.09,86.96,4.5,
2019,1,10,27.6,86.31,4.5,
2018,12,22,27.85,85.76,4.7,
2018,10,25,27.72,86.02,4,
2018,10,6,28.94,81.72,4.3,
2018,10,5,28.94,81.74,4,
2018,10,5,28.93,81.7,4,
2018,9,19,28.57,82.88,4,
2018,8,29,27.79,87.41,4.2,
2018,8,24,27.5,88.04,4.5,
2018,8,2,27.66,86.1,4.2,
2018,7,24,27.75,84.87,4.8,
2018,7,24,27.94,85.51,4.3,
2018,7,18,29.02,81.51,4.2,
2018,7,17,27.82,84.81,4.4,
2018,7,13,29.57,81.56,4.1,
2018,7,5,28.11,85.04,4.1,
2018,6,28,27.87,84.91,5,
2018,6,20,27.36,88.01,4.8,
2018,6,20,27.31,87.9,4.7,
2018,6,5,29.68,81.65,4.9,
2018,6,1,27.68,86.11,4.3,
2018,5,31,28.9,81.77,4.3,
2018,5,31,28.17,84.89,4.1,
2018,5,24,29.98,80.54,4.6,
2018,5,5,27.74,88.13,4.4,
2018,3,2,27.7,86.33,4.6,
2018,2,26,27.7,86.33,4.7,
2018,2,21,28.07,85.96,4.3,
2018,1,19,27.72,86.01,4.3,
2017,12,28,29.82,80.76,4.5,
2017,12,18,27.96,85.68,4.2,
